"","EventID","Metric","Value"
"321",5694,"BENT_NTAX",9
"322",5694,"BENT_PROP",0.390243902439024
"323",5694,"BENT_SUM",80
"324",5694,"COTTID_NTAX",0
"325",5694,"COTTID_PROP",0
"326",5694,"COTTID_SUM",0
"327",5694,"CYPR_NTAX",6
"328",5694,"CYPR_PROP",0.482926829268293
"329",5694,"CYPR_SUM",99
"330",5694,"MODTOL_NTAX",2
"331",5694,"MODTOL_PROP",0.121951219512195
"332",5694,"MODTOL_SUM",25
"333",5694,"TOLBENT_NTAX",5
"334",5694,"TOLBENT_PROP",0.326829268292683
"335",5694,"TOLBENT_SUM",67
"336",5694,"TOTAL",205
"337",5696,"BENT_NTAX",10
"338",5696,"BENT_PROP",0.428571428571429
"339",5696,"BENT_SUM",63
"340",5696,"COTTID_NTAX",0
"341",5696,"COTTID_PROP",0
"342",5696,"COTTID_SUM",0
"343",5696,"CYPR_NTAX",6
"344",5696,"CYPR_PROP",0.299319727891156
"345",5696,"CYPR_SUM",44
"346",5696,"MODTOL_NTAX",2
"347",5696,"MODTOL_PROP",0.115646258503401
"348",5696,"MODTOL_SUM",17
"349",5696,"TOLBENT_NTAX",6
"350",5696,"TOLBENT_PROP",0.285714285714286
"351",5696,"TOLBENT_SUM",42
"352",5696,"TOTAL",147
"353",5698,"BENT_NTAX",9
"354",5698,"BENT_PROP",0.383064516129032
"355",5698,"BENT_SUM",95
"356",5698,"COTTID_NTAX",0
"357",5698,"COTTID_PROP",0
"358",5698,"COTTID_SUM",0
"359",5698,"CYPR_NTAX",8
"360",5698,"CYPR_PROP",0.57258064516129
"361",5698,"CYPR_SUM",142
"362",5698,"MODTOL_NTAX",2
"363",5698,"MODTOL_PROP",0.116935483870968
"364",5698,"MODTOL_SUM",29
"365",5698,"TOLBENT_NTAX",6
"366",5698,"TOLBENT_PROP",0.225806451612903
"367",5698,"TOLBENT_SUM",56
"368",5698,"TOTAL",248
"369",5706,"BENT_NTAX",4
"370",5706,"BENT_PROP",0.625
"371",5706,"BENT_SUM",5
"372",5706,"COTTID_NTAX",0
"373",5706,"COTTID_PROP",0
"374",5706,"COTTID_SUM",0
"375",5706,"CYPR_NTAX",2
"376",5706,"CYPR_PROP",0.375
"377",5706,"CYPR_SUM",3
"378",5706,"MODTOL_NTAX",1
"379",5706,"MODTOL_PROP",0.125
"380",5706,"MODTOL_SUM",1
"381",5706,"TOLBENT_NTAX",2
"382",5706,"TOLBENT_PROP",0.25
"383",5706,"TOLBENT_SUM",2
"384",5706,"TOTAL",8
"385",5710,"BENT_NTAX",11
"386",5710,"BENT_PROP",0.373134328358209
"387",5710,"BENT_SUM",50
"388",5710,"COTTID_NTAX",0
"389",5710,"COTTID_PROP",0
"390",5710,"COTTID_SUM",0
"391",5710,"CYPR_NTAX",6
"392",5710,"CYPR_PROP",0.649253731343284
"393",5710,"CYPR_SUM",87
"394",5710,"MODTOL_NTAX",3
"395",5710,"MODTOL_PROP",0.0447761194029851
"396",5710,"MODTOL_SUM",6
"397",5710,"TOLBENT_NTAX",6
"398",5710,"TOLBENT_PROP",0.283582089552239
"399",5710,"TOLBENT_SUM",38
"400",5710,"TOTAL",134
"401",5724,"BENT_NTAX",9
"402",5724,"BENT_PROP",0.305555555555556
"403",5724,"BENT_SUM",33
"404",5724,"COTTID_NTAX",0
"405",5724,"COTTID_PROP",0
"406",5724,"COTTID_SUM",0
"407",5724,"CYPR_NTAX",7
"408",5724,"CYPR_PROP",0.37962962962963
"409",5724,"CYPR_SUM",41
"410",5724,"MODTOL_NTAX",2
"411",5724,"MODTOL_PROP",0.222222222222222
"412",5724,"MODTOL_SUM",24
"413",5724,"TOLBENT_NTAX",6
"414",5724,"TOLBENT_PROP",0.222222222222222
"415",5724,"TOLBENT_SUM",24
"416",5724,"TOTAL",108
"417",5730,"BENT_NTAX",7
"418",5730,"BENT_PROP",0.478260869565217
"419",5730,"BENT_SUM",22
"420",5730,"COTTID_NTAX",0
"421",5730,"COTTID_PROP",0
"422",5730,"COTTID_SUM",0
"423",5730,"CYPR_NTAX",3
"424",5730,"CYPR_PROP",0.434782608695652
"425",5730,"CYPR_SUM",20
"426",5730,"MODTOL_NTAX",2
"427",5730,"MODTOL_PROP",0.0869565217391304
"428",5730,"MODTOL_SUM",4
"429",5730,"TOLBENT_NTAX",5
"430",5730,"TOLBENT_PROP",0.304347826086957
"431",5730,"TOLBENT_SUM",14
"432",5730,"TOTAL",46
"433",5732,"BENT_NTAX",14
