"EventID","Metric","Value"
5696,"TOLBENT_SUM",42
5696,"TOLBENT_PROP",0.285714285714286
5696,"COTTID_NTAX",0
5696,"COTTID_SUM",0
5696,"COTTID_PROP",0
5698,"TOTAL",248
5698,"BENT_NTAX",9
5698,"BENT_SUM",95
5698,"BENT_PROP",0.383064516129032
5698,"CYPR_NTAX",8
5698,"CYPR_SUM",142
5698,"CYPR_PROP",0.57258064516129
5698,"MODTOL_NTAX",2
5698,"MODTOL_SUM",29
5698,"MODTOL_PROP",0.116935483870968
5698,"TOLBENT_NTAX",6
5698,"TOLBENT_SUM",56
5698,"TOLBENT_PROP",0.225806451612903
5698,"COTTID_NTAX",0
5698,"COTTID_SUM",0
5698,"COTTID_PROP",0
5706,"TOTAL",8
5706,"BENT_NTAX",4
5706,"BENT_SUM",5
5706,"BENT_PROP",0.625
5706,"CYPR_NTAX",2
5706,"CYPR_SUM",3
5706,"CYPR_PROP",0.375
5706,"MODTOL_NTAX",1
5706,"MODTOL_SUM",1
5706,"MODTOL_PROP",0.125
5706,"TOLBENT_NTAX",2
5706,"TOLBENT_SUM",2
5706,"TOLBENT_PROP",0.25
5706,"COTTID_NTAX",0
5706,"COTTID_SUM",0
5706,"COTTID_PROP",0
5710,"TOTAL",134
5710,"BENT_NTAX",11
5710,"BENT_SUM",50
5710,"BENT_PROP",0.373134328358209
5710,"CYPR_NTAX",6
5710,"CYPR_SUM",87
5710,"CYPR_PROP",0.649253731343284
5710,"MODTOL_NTAX",3
5710,"MODTOL_SUM",6
5710,"MODTOL_PROP",0.0447761194029851
5710,"TOLBENT_NTAX",6
5710,"TOLBENT_SUM",38
5710,"TOLBENT_PROP",0.283582089552239
5710,"COTTID_NTAX",0
5710,"COTTID_SUM",0
5710,"COTTID_PROP",0
5724,"TOTAL",108
5724,"BENT_NTAX",9
5724,"BENT_SUM",33
5724,"BENT_PROP",0.305555555555556
5724,"CYPR_NTAX",7
5724,"CYPR_SUM",41
5724,"CYPR_PROP",0.37962962962963
5724,"MODTOL_NTAX",2
5724,"MODTOL_SUM",24
5724,"MODTOL_PROP",0.222222222222222
5724,"TOLBENT_NTAX",6
5724,"TOLBENT_SUM",24
5724,"TOLBENT_PROP",0.222222222222222
5724,"COTTID_NTAX",0
5724,"COTTID_SUM",0
5724,"COTTID_PROP",0
5730,"TOTAL",46
5730,"BENT_NTAX",7
5730,"BENT_SUM",22
5730,"BENT_PROP",0.478260869565217
5730,"CYPR_NTAX",3
5730,"CYPR_SUM",20
5730,"CYPR_PROP",0.434782608695652
5730,"MODTOL_NTAX",2
5730,"MODTOL_SUM",4
5730,"MODTOL_PROP",0.0869565217391304
5730,"TOLBENT_NTAX",5
5730,"TOLBENT_SUM",14
5730,"TOLBENT_PROP",0.304347826086957
5730,"COTTID_NTAX",0
5730,"COTTID_SUM",0
5730,"COTTID_PROP",0
5732,"TOTAL",323
5732,"BENT_NTAX",14
5732,"BENT_SUM",126
5732,"BENT_PROP",0.390092879256966
5732,"CYPR_NTAX",9
5732,"CYPR_SUM",137
5732,"CYPR_PROP",0.424148606811146
5732,"MODTOL_NTAX",4
5732,"MODTOL_SUM",56
5732,"MODTOL_PROP",0.173374613003096
5732,"TOLBENT_NTAX",8
5732,"TOLBENT_SUM",95
5732,"TOLBENT_PROP",0.294117647058824
5732,"COTTID_NTAX",0
5732,"COTTID_SUM",0
5732,"COTTID_PROP",0
5734,"TOTAL",245
5734,"BENT_NTAX",10
5734,"BENT_SUM",106
5734,"BENT_PROP",0.43265306122449
5734,"CYPR_NTAX",9
5734,"CYPR_SUM",166
5734,"CYPR_PROP",0.677551020408163
5734,"MODTOL_NTAX",2
5734,"MODTOL_SUM",9
5734,"MODTOL_PROP",0.036734693877551
5734,"TOLBENT_NTAX",6
5734,"TOLBENT_SUM",90
5734,"TOLBENT_PROP",0.36734693877551
5734,"COTTID_NTAX",0
5734,"COTTID_SUM",0
5734,"COTTID_PROP",0
5736,"TOTAL",243
5736,"BENT_NTAX",14
5736,"BENT_SUM",110
5736,"BENT_PROP",0.452674897119342
5736,"CYPR_NTAX",8
5736,"CYPR_SUM",119
5736,"CYPR_PROP",0.489711934156379
5736,"MODTOL_NTAX",3
5736,"MODTOL_SUM",33
5736,"MODTOL_PROP",0.135802469135802
5736,"TOLBENT_NTAX",7
5736,"TOLBENT_SUM",69
5736,"TOLBENT_PROP",0.283950617283951
5736,"COTTID_NTAX",0
5736,"COTTID_SUM",0
5736,"COTTID_PROP",0
5738,"TOTAL",154
5738,"BENT_NTAX",10
5738,"BENT_SUM",85
5738,"BENT_PROP",0.551948051948052
5738,"CYPR_NTAX",8
5738,"CYPR_SUM",87
5738,"CYPR_PROP",0.564935064935065
5738,"MODTOL_NTAX",4
5738,"MODTOL_SUM",10
5738,"MODTOL_PROP",0.0649350649350649
5738,"TOLBENT_NTAX",4
5738,"TOLBENT_SUM",63
5738,"TOLBENT_PROP",0.409090909090909
5738,"COTTID_NTAX",0
5738,"COTTID_SUM",0
5738,"COTTID_PROP",0
5746,"TOTAL",249
5746,"BENT_NTAX",15
5746,"BENT_SUM",159
5746,"BENT_PROP",0.63855421686747
5746,"CYPR_NTAX",9
5746,"CYPR_SUM",139
5746,"CYPR_PROP",0.558232931726908
5746,"MODTOL_NTAX",4
5746,"MODTOL_SUM",47
5746,"MODTOL_PROP",0.188755020080321
5746,"TOLBENT_NTAX",5
5746,"TOLBENT_SUM",86
5746,"TOLBENT_PROP",0.345381526104418
5746,"COTTID_NTAX",0
5746,"COTTID_SUM",0
5746,"COTTID_PROP",0
5748,"TOTAL",138
5748,"BENT_NTAX",14
5748,"BENT_SUM",90
5748,"BENT_PROP",0.652173913043478
5748,"CYPR_NTAX",8
5748,"CYPR_SUM",74
5748,"CYPR_PROP",0.536231884057971
5748,"MODTOL_NTAX",5
5748,"MODTOL_SUM",23
5748,"MODTOL_PROP",0.166666666666667
5748,"TOLBENT_NTAX",6
5748,"TOLBENT_SUM",53
5748,"TOLBENT_PROP",0.384057971014493
5748,"COTTID_NTAX",0
5748,"COTTID_SUM",0
5748,"COTTID_PROP",0
5752,"TOTAL",249
5752,"BENT_NTAX",13
5752,"BENT_SUM",161
5752,"BENT_PROP",0.646586345381526
5752,"CYPR_NTAX",9
5752,"CYPR_SUM",166
5752,"CYPR_PROP",0.666666666666667
5752,"MODTOL_NTAX",3
5752,"MODTOL_SUM",11
5752,"MODTOL_PROP",0.0441767068273092
5752,"TOLBENT_NTAX",6
5752,"TOLBENT_SUM",113
5752,"TOLBENT_PROP",0.453815261044177
5752,"COTTID_NTAX",0
5752,"COTTID_SUM",0
5752,"COTTID_PROP",0
5754,"TOTAL",86
5754,"BENT_NTAX",10
5754,"BENT_SUM",35
5754,"BENT_PROP",0.406976744186047
5754,"CYPR_NTAX",5
5754,"CYPR_SUM",29
5754,"CYPR_PROP",0.337209302325581
5754,"MODTOL_NTAX",2
5754,"MODTOL_SUM",15
5754,"MODTOL_PROP",0.174418604651163
5754,"TOLBENT_NTAX",5
5754,"TOLBENT_SUM",11
5754,"TOLBENT_PROP",0.127906976744186
5754,"COTTID_NTAX",0
5754,"COTTID_SUM",0
5754,"COTTID_PROP",0
5756,"TOTAL",198
5756,"BENT_NTAX",9
5756,"BENT_SUM",68
5756,"BENT_PROP",0.343434343434343
5756,"CYPR_NTAX",9
5756,"CYPR_SUM",120
5756,"CYPR_PROP",0.606060606060606
5756,"MODTOL_NTAX",3
5756,"MODTOL_SUM",25
5756,"MODTOL_PROP",0.126262626262626
5756,"TOLBENT_NTAX",6
5756,"TOLBENT_SUM",46
5756,"TOLBENT_PROP",0.232323232323232
5756,"COTTID_NTAX",0
5756,"COTTID_SUM",0
5756,"COTTID_PROP",0
5758,"TOTAL",359
5758,"BENT_NTAX",12
5758,"BENT_SUM",257
5758,"BENT_PROP",0.715877437325905
5758,"CYPR_NTAX",7
5758,"CYPR_SUM",235
5758,"CYPR_PROP",0.654596100278552
5758,"MODTOL_NTAX",4
5758,"MODTOL_SUM",32
5758,"MODTOL_PROP",0.0891364902506964
5758,"TOLBENT_NTAX",6
5758,"TOLBENT_SUM",207
5758,"TOLBENT_PROP",0.576601671309192
5758,"COTTID_NTAX",0
5758,"COTTID_SUM",0
5758,"COTTID_PROP",0
5760,"TOTAL",71
5760,"BENT_NTAX",7
5760,"BENT_SUM",20
5760,"BENT_PROP",0.28169014084507
5760,"CYPR_NTAX",1
5760,"CYPR_SUM",13
5760,"CYPR_PROP",0.183098591549296
5760,"MODTOL_NTAX",2
5760,"MODTOL_SUM",27
5760,"MODTOL_PROP",0.380281690140845
5760,"TOLBENT_NTAX",3
5760,"TOLBENT_SUM",15
5760,"TOLBENT_PROP",0.211267605633803
5760,"COTTID_NTAX",0
5760,"COTTID_SUM",0
5760,"COTTID_PROP",0
5762,"TOTAL",181
5762,"BENT_NTAX",9
5762,"BENT_SUM",81
5762,"BENT_PROP",0.447513812154696
5762,"CYPR_NTAX",6
5762,"CYPR_SUM",110
5762,"CYPR_PROP",0.607734806629834
5762,"MODTOL_NTAX",2
5762,"MODTOL_SUM",4
5762,"MODTOL_PROP",0.0220994475138122
5762,"TOLBENT_NTAX",6
5762,"TOLBENT_SUM",76
5762,"TOLBENT_PROP",0.419889502762431
5762,"COTTID_NTAX",0
5762,"COTTID_SUM",0
5762,"COTTID_PROP",0
5764,"TOTAL",60
5764,"BENT_NTAX",6
5764,"BENT_SUM",15
5764,"BENT_PROP",0.25
5764,"CYPR_NTAX",1
5764,"CYPR_SUM",11
5764,"CYPR_PROP",0.183333333333333
5764,"MODTOL_NTAX",1
5764,"MODTOL_SUM",17
5764,"MODTOL_PROP",0.283333333333333
5764,"TOLBENT_NTAX",4
5764,"TOLBENT_SUM",12
5764,"TOLBENT_PROP",0.2
5764,"COTTID_NTAX",0
5764,"COTTID_SUM",0
5764,"COTTID_PROP",0
5766,"TOTAL",238
5766,"BENT_NTAX",12
5766,"BENT_SUM",106
5766,"BENT_PROP",0.445378151260504
5766,"CYPR_NTAX",8
5766,"CYPR_SUM",159
5766,"CYPR_PROP",0.668067226890756
5766,"MODTOL_NTAX",3
5766,"MODTOL_SUM",7
5766,"MODTOL_PROP",0.0294117647058824
5766,"TOLBENT_NTAX",7
5766,"TOLBENT_SUM",77
5766,"TOLBENT_PROP",0.323529411764706
5766,"COTTID_NTAX",0
5766,"COTTID_SUM",0
5766,"COTTID_PROP",0
5768,"TOTAL",114
5768,"BENT_NTAX",9
5768,"BENT_SUM",45
5768,"BENT_PROP",0.394736842105263
5768,"CYPR_NTAX",7
5768,"CYPR_SUM",58
5768,"CYPR_PROP",0.508771929824561
5768,"MODTOL_NTAX",2
5768,"MODTOL_SUM",11
5768,"MODTOL_PROP",0.0964912280701754
5768,"TOLBENT_NTAX",6
5768,"TOLBENT_SUM",31
5768,"TOLBENT_PROP",0.271929824561404
5768,"COTTID_NTAX",0
5768,"COTTID_SUM",0
5768,"COTTID_PROP",0
5772,"TOTAL",135
5772,"BENT_NTAX",12
5772,"BENT_SUM",46
5772,"BENT_PROP",0.340740740740741
5772,"CYPR_NTAX",9
5772,"CYPR_SUM",77
5772,"CYPR_PROP",0.57037037037037
5772,"MODTOL_NTAX",2
5772,"MODTOL_SUM",14
5772,"MODTOL_PROP",0.103703703703704
5772,"TOLBENT_NTAX",6
5772,"TOLBENT_SUM",27
5772,"TOLBENT_PROP",0.2
5772,"COTTID_NTAX",0
5772,"COTTID_SUM",0
5772,"COTTID_PROP",0
5774,"TOTAL",175
5774,"BENT_NTAX",12
5774,"BENT_SUM",67
5774,"BENT_PROP",0.382857142857143
5774,"CYPR_NTAX",6
5774,"CYPR_SUM",42
5774,"CYPR_PROP",0.24
5774,"MODTOL_NTAX",3
5774,"MODTOL_SUM",55
5774,"MODTOL_PROP",0.314285714285714
5774,"TOLBENT_NTAX",6
5774,"TOLBENT_SUM",43
5774,"TOLBENT_PROP",0.245714285714286
5774,"COTTID_NTAX",0
5774,"COTTID_SUM",0
5774,"COTTID_PROP",0
5776,"TOTAL",166
5776,"BENT_NTAX",10
5776,"BENT_SUM",64
5776,"BENT_PROP",0.385542168674699
5776,"CYPR_NTAX",7
5776,"CYPR_SUM",79
5776,"CYPR_PROP",0.475903614457831
5776,"MODTOL_NTAX",2
5776,"MODTOL_SUM",19
5776,"MODTOL_PROP",0.114457831325301
5776,"TOLBENT_NTAX",7
5776,"TOLBENT_SUM",52
5776,"TOLBENT_PROP",0.313253012048193
5776,"COTTID_NTAX",0
5776,"COTTID_SUM",0
5776,"COTTID_PROP",0
5778,"TOTAL",42
5778,"BENT_NTAX",6
5778,"BENT_SUM",18
5778,"BENT_PROP",0.428571428571429
5778,"CYPR_NTAX",3
5778,"CYPR_SUM",11
5778,"CYPR_PROP",0.261904761904762
5778,"MODTOL_NTAX",1
5778,"MODTOL_SUM",7
5778,"MODTOL_PROP",0.166666666666667
5778,"TOLBENT_NTAX",2
5778,"TOLBENT_SUM",9
5778,"TOLBENT_PROP",0.214285714285714
5778,"COTTID_NTAX",0
5778,"COTTID_SUM",0
5778,"COTTID_PROP",0
5780,"TOTAL",25
5780,"BENT_NTAX",3
5780,"BENT_SUM",6
5780,"BENT_PROP",0.24
5780,"CYPR_NTAX",2
5780,"CYPR_SUM",7
5780,"CYPR_PROP",0.28
5780,"MODTOL_NTAX",2
5780,"MODTOL_SUM",4
5780,"MODTOL_PROP",0.16
5780,"TOLBENT_NTAX",2
5780,"TOLBENT_SUM",4
5780,"TOLBENT_PROP",0.16
5780,"COTTID_NTAX",0
5780,"COTTID_SUM",0
5780,"COTTID_PROP",0
5782,"TOTAL",72
5782,"BENT_NTAX",7
5782,"BENT_SUM",11
5782,"BENT_PROP",0.152777777777778
5782,"CYPR_NTAX",4
5782,"CYPR_SUM",17
5782,"CYPR_PROP",0.236111111111111
5782,"MODTOL_NTAX",2
5782,"MODTOL_SUM",2
5782,"MODTOL_PROP",0.0277777777777778
5782,"TOLBENT_NTAX",4
5782,"TOLBENT_SUM",8
5782,"TOLBENT_PROP",0.111111111111111
5782,"COTTID_NTAX",0
5782,"COTTID_SUM",0
5782,"COTTID_PROP",0
5788,"TOTAL",304
5788,"BENT_NTAX",13
5788,"BENT_SUM",117
5788,"BENT_PROP",0.384868421052632
5788,"CYPR_NTAX",8
5788,"CYPR_SUM",197
5788,"CYPR_PROP",0.648026315789474
5788,"MODTOL_NTAX",2
5788,"MODTOL_SUM",35
5788,"MODTOL_PROP",0.115131578947368
5788,"TOLBENT_NTAX",7
5788,"TOLBENT_SUM",85
5788,"TOLBENT_PROP",0.279605263157895
5788,"COTTID_NTAX",0
5788,"COTTID_SUM",0
5788,"COTTID_PROP",0
5798,"TOTAL",510
5798,"BENT_NTAX",13
5798,"BENT_SUM",276
5798,"BENT_PROP",0.541176470588235
5798,"CYPR_NTAX",5
5798,"CYPR_SUM",286
5798,"CYPR_PROP",0.56078431372549
5798,"MODTOL_NTAX",2
5798,"MODTOL_SUM",39
5798,"MODTOL_PROP",0.0764705882352941
5798,"TOLBENT_NTAX",8
5798,"TOLBENT_SUM",252
5798,"TOLBENT_PROP",0.494117647058824
5798,"COTTID_NTAX",0
5798,"COTTID_SUM",0
5798,"COTTID_PROP",0
5802,"TOTAL",102
5802,"BENT_NTAX",8
5802,"BENT_SUM",17
5802,"BENT_PROP",0.166666666666667
5802,"CYPR_NTAX",6
5802,"CYPR_SUM",74
5802,"CYPR_PROP",0.725490196078431
5802,"MODTOL_NTAX",1
5802,"MODTOL_SUM",9
5802,"MODTOL_PROP",0.0882352941176471
5802,"TOLBENT_NTAX",3
5802,"TOLBENT_SUM",11
5802,"TOLBENT_PROP",0.107843137254902
5802,"COTTID_NTAX",0
5802,"COTTID_SUM",0
5802,"COTTID_PROP",0
5804,"TOTAL",104
5804,"BENT_NTAX",10
5804,"BENT_SUM",35
5804,"BENT_PROP",0.336538461538462
5804,"CYPR_NTAX",7
5804,"CYPR_SUM",65
5804,"CYPR_PROP",0.625
5804,"MODTOL_NTAX",1
5804,"MODTOL_SUM",6
